BHID,From,To,X,Y,Z,surface,series,id,order_series
BH2,32,33,582744.73,3639237.39,1846.5,rock2,series3,3,3
BH2,33,34,582744.75,3639237.22,1847.48,rock2,series3,3,3
BH2,34,35,582744.77,3639237.05,1848.47,rock2,series3,3,3
BH2,35,36,582744.78,3639236.87,1849.45,rock2,series3,3,3
BH2,36,37,582744.8,3639236.7,1850.44,rock2,series3,3,3
BH2,37,38,582744.82,3639236.53,1851.42,rock2,series3,3,3
BH2,38,39,582744.84,3639236.35,1852.41,rock2,series3,3,3
BH2,39,40,582744.86,3639236.18,1853.39,rock2,series3,3,3
BH2,40,41,582744.87,3639236.01,1854.38,rock2,series3,3,3
BH2,41,42,582744.89,3639235.84,1855.36,rock2,series3,3,3
BH2,42,43,582744.91,3639235.66,1856.35,rock2,series3,3,3
BH2,43,44,582744.93,3639235.49,1857.33,rock2,series3,3,3
BH2,44,45,582744.95,3639235.32,1858.32,rock2,series3,3,3
BH2,45,46,582744.96,3639235.15,1859.3,rock2,series3,3,3
BH2,46,47,582744.98,3639234.97,1860.29,rock2,series3,3,3
BH2,47,48,582745.0,3639234.8,1861.27,rock2,series3,3,3
BH2,48,49,582745.02,3639234.63,1862.26,rock2,series3,3,3
BH2,49,50,582745.04,3639234.46,1863.24,rock2,series3,3,3
BH2,50,51,582745.06,3639234.28,1864.23,rock2,series3,3,3
BH2,51,52,582745.07,3639234.11,1865.21,rock2,series3,3,3
BH2,52,53,582745.09,3639233.94,1866.19,rock2,series3,3,3
BH2,53,54,582745.11,3639233.76,1867.18,rock2,series3,3,3
BH2,54,55,582745.13,3639233.59,1868.16,rock2,series3,3,3
BH2,55,56,582745.15,3639233.42,1869.15,rock2,series3,3,3
BH2,56,57,582745.16,3639233.25,1870.13,rock2,series3,3,3
BH2,57,58,582745.18,3639233.07,1871.12,rock2,series3,3,3
BH2,58,59,582745.2,3639232.9,1872.1,rock2,series3,3,3
BH2,59,60,582745.22,3639232.73,1873.09,rock2,series3,3,3
BH2,60,61,582745.24,3639232.56,1874.07,rock2,series3,3,3
BH2,61,62,582745.26,3639232.38,1875.06,rock2,series3,3,3
BH2,62,63,582745.27,3639232.21,1876.04,rock2,series3,3,3
BH2,63,64,582745.29,3639232.04,1877.03,rock2,series3,3,3
BH2,64,65,582745.31,3639231.86,1878.01,rock2,series3,3,3
BH2,65,66,582745.33,3639231.69,1879.0,rock2,series3,3,3
BH2,66,67,582745.35,3639231.52,1879.98,rock2,series3,3,3
BH2,67,68,582745.36,3639231.35,1880.97,rock2,series3,3,3
BH2,68,69,582745.38,3639231.17,1881.95,rock2,series3,3,3
BH2,69,70,582745.4,3639231.0,1882.94,rock2,series3,3,3
BH2,70,71,582745.42,3639230.83,1883.92,rock2,series3,3,3
BH2,71,72,582745.44,3639230.66,1884.91,rock2,series3,3,3
BH2,72,73,582745.46,3639230.48,1885.89,rock2,series3,3,3
BH2,73,74,582745.47,3639230.31,1886.88,rock2,series3,3,3
BH2,74,75,582745.49,3639230.14,1887.86,rock2,series3,3,3
BH2,75,76,582745.51,3639229.97,1888.85,rock2,series3,3,3
BH2,76,77,582745.53,3639229.79,1889.83,rock2,series3,3,3
BH2,77,78,582745.55,3639229.62,1890.82,rock2,series3,3,3
BH2,78,79,582745.56,3639229.45,1891.8,rock2,series3,3,3
BH2,79,80,582745.58,3639229.27,1892.78,rock2,series3,3,3
BH2,80,81,582745.6,3639229.1,1893.77,rock2,series3,3,3
BH2,81,82,582745.62,3639228.93,1894.75,rock2,series3,3,3
BH2,82,83,582745.64,3639228.76,1895.74,rock2,series3,3,3
BH2,83,84,582745.65,3639228.58,1896.72,rock2,series3,3,3
BH2,84,85,582745.67,3639228.41,1897.71,rock2,series3,3,3
BH2,85,86,582745.69,3639228.24,1898.69,rock2,series3,3,3
BH2,86,87,582745.71,3639228.07,1899.68,rock2,series3,3,3
BH2,87,88,582745.73,3639227.89,1900.66,rock2,series3,3,3
BH2,88,89,582745.75,3639227.72,1901.65,rock2,series3,3,3
BH2,89,90,582745.76,3639227.55,1902.63,rock2,series3,3,3
BH2,90,91,582745.78,3639227.37,1903.62,rock2,series3,3,3
BH2,91,92,582745.8,3639227.2,1904.6,rock2,series3,3,3
BH2,92,93,582745.82,3639227.03,1905.59,rock2,series3,3,3
BH2,93,94,582745.84,3639226.86,1906.57,rock2,series3,3,3
BH2,94,95,582745.85,3639226.68,1907.56,rock2,series3,3,3
BH2,95,96,582745.87,3639226.51,1908.54,rock2,series3,3,3
BH2,96,97,582745.89,3639226.34,1909.53,rock2,series3,3,3
BH2,97,98,582745.91,3639226.17,1910.51,rock2,series3,3,3
